record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,material_id,material_code,material_name,aliases,material_type,grade,base_uom,valuation_class,benchmark_code,active
mdm-01-801a9fbd3206,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-24e92e8dab22,RM-CU-CONC,RM-CU-CONC,동정광,동정광|RM CU CONC,RAW,DEMO_STANDARD,TON,RAW,LME_COPPER,True
mdm-01-8c76ace6802f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3e0b255773fb,RM-MHP,RM-MHP,니켈 MHP,니켈 MHP|RM MHP,RAW,DEMO_STANDARD,TON,RAW,NICKEL,True
mdm-01-468c072151b9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1352352db7b6,RM-H2SO4,RM-H2SO4,황산 98%,황산 98%|RM H2SO4,RAW,DEMO_STANDARD,TON,RAW,SULFURIC_ACID,True
mdm-01-5fff910d748c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-45108dbf33e1,RM-LIME,RM-LIME,소석회,소석회|RM LIME,RAW,DEMO_STANDARD,TON,RAW,INDUSTRIAL_CHEMICAL,True
mdm-01-954a453c213f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9eda13df23cd,WIP-MATTE,WIP-MATTE,동 매트,동 매트|WIP MATTE,WIP,DEMO_STANDARD,TON,WIP,,True
mdm-01-e45fefccef92,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-01e2e7f7268b,WIP-ANODE,WIP-ANODE,아노드동,아노드동|WIP ANODE,WIP,DEMO_STANDARD,TON,WIP,,True
mdm-01-238567404f64,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0cfe6f696838,WIP-NISO4,WIP-NISO4,조황산니켈 용액,조황산니켈 용액|WIP NISO4,WIP,DEMO_STANDARD,TON,WIP,,True
mdm-01-9d83af9ddb5f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-45be168d97f2,FG-CATHODE,FG-CATHODE,전기동,전기동|FG CATHODE,FINISHED,DEMO_STANDARD,TON,FINISHED,COPPER,True
mdm-01-4f7759db6c2b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d0688aa9bf69,FG-NISO4,FG-NISO4,고순도 황산니켈,고순도 황산니켈|FG NISO4,FINISHED,DEMO_STANDARD,TON,FINISHED,NICKEL_SULFATE,True
mdm-01-fee53fa7b2b0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c941de2d1161,FG-LIOH,FG-LIOH,배터리급 수산화리튬,배터리급 수산화리튬|FG LIOH,FINISHED,DEMO_STANDARD,TON,FINISHED,LITHIUM,True
