record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,contract_id,supplier_id,material_id,contract_quantity,ordered_quantity,quantity_uom,benchmark_code,benchmark_price,premium_rate,currency,incoterm,payment_terms,valid_from,valid_to,price_formula
prc-01-b6fe696741f6,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-29fec2e3a76a,CTR-00001,SUP-0001,RM-CU-CONC,10000,388.5,TON,NICKEL,10745.82,-0.02,KRW,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-5bbaba3e8d0d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7c881a098edc,CTR-00002,SUP-0002,RM-MHP,12500,384.0,TON,NICKEL,10745.82,-0.012,USD,FOB,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-678f4630a186,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-500572faeb82,CTR-00003,SUP-0003,RM-H2SO4,15000,379.5,TON,SULFURIC_ACID,106.68,-0.004,USD,CFR,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-42b16a30a22e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aad617d7e105,CTR-00004,SUP-0004,RM-LIME,17500,375.0,TON,NICKEL,10745.82,0.004,USD,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-c70b60772253,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a73e1235b530,CTR-00005,SUP-0005,MAT-RA-0013,20000,370.5,TON,NICKEL,10745.82,0.012,KRW,FOB,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-3dc5636c4fb1,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a966409ce451,CTR-00006,SUP-0006,MAT-CO-0014,22500,366.0,EA,NICKEL,10745.82,0.02,USD,CFR,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-9457997d1178,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6457d837cdcf,CTR-00007,SUP-0007,MAT-CO-0015,25000,361.5,EA,NICKEL,10745.82,0.028,USD,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-8e0e92c4a890,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5abc0fa9153b,CTR-00008,SUP-0008,MAT-RA-0018,27500,357.0,TON,NICKEL,10745.82,0.036,USD,FOB,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-d7fdf074f786,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-618bcf36ae51,CTR-00009,SUP-0009,MAT-RA-0019,30000,352.5,TON,NICKEL,10745.82,0.044,KRW,CFR,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-0347dfe1341b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ccd582d19b48,CTR-00010,SUP-0010,MAT-CO-0020,32500,397.5,EA,NICKEL,10745.82,-0.02,USD,CIF,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-0c83f4c40670,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e91f7e260a89,CTR-00011,SUP-0001,MAT-CO-0021,10000,393.0,EA,NICKEL,10745.82,-0.012,KRW,FOB,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-d9444c5a0d3e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4ada59dbe656,CTR-00012,SUP-0002,MAT-RA-0024,12500,388.5,TON,NICKEL,10745.82,-0.004,USD,CFR,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-94e11e8df45d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3f2a21787dae,CTR-00013,SUP-0003,MAT-RA-0025,15000,384.0,TON,NICKEL,10745.82,0.004,USD,CIF,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-e5060b330a0d,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-13c3d770a927,CTR-00014,SUP-0004,MAT-CO-0026,17500,379.5,EA,NICKEL,10745.82,0.012,USD,FOB,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-11a6f62fab80,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d9e1e2efd0a0,CTR-00015,SUP-0005,MAT-CO-0027,20000,375.0,EA,NICKEL,10745.82,0.02,KRW,CFR,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-c1474964969c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-15a47f1a6125,CTR-00016,SUP-0006,MAT-RA-0030,22500,370.5,TON,NICKEL,10745.82,0.028,USD,CIF,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-cfabcbfff678,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3a43d4a61696,CTR-00017,SUP-0007,RM-CU-CONC,25000,366.0,TON,NICKEL,10745.82,0.036,USD,FOB,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-6a42add139ab,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aa3838cdb8cb,CTR-00018,SUP-0008,RM-MHP,27500,361.5,TON,NICKEL,10745.82,0.044,USD,CFR,NET45,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-b75b5abb9877,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-24bf9f59f26a,CTR-00019,SUP-0009,RM-H2SO4,30000,357.0,TON,SULFURIC_ACID,106.68,-0.02,KRW,CIF,NET60,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
prc-01-7bc1825ec0e9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-91fd1ccbd9cd,CTR-00020,SUP-0010,RM-LIME,32500,352.5,TON,NICKEL,10745.82,-0.012,USD,FOB,NET30,2024-01-01,2027-12-31,BENCHMARK_PRICE*(1+PREMIUM_RATE)
