record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,batch_id,plan_line_id,production_date,site_id,input_material_id,input_lot_id,input_quantity,output_material_id,output_lot_id,output_quantity,quantity_uom,actual_yield,scrap_quantity,downtime_hours,status
mfg-02-675878f160ea,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ce03f9423344,BATCH-0000001,MPS-0000001,2026-02-01,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000001,3.846,FG-CATHODE,LOT-FG-0000001,3.825,TON,0.99456,0.021,4,CONFIRMED
mfg-02-c453f6a72ec3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-65ffea5d320c,BATCH-0000002,MPS-0000002,2026-02-07,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000002,5.047,FG-LIOH,LOT-FG-0000002,4.694,TON,0.93011,0.353,0,CONFIRMED
mfg-02-bb3597eb0317,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-07876c8009fd,BATCH-0000003,MPS-0000003,2026-02-13,plant-afs-battery-02,RM-MHP,LOT-RM-000003,5.857,FG-NISO4,LOT-FG-0000003,5.585,TON,0.95363,0.272,0,CONFIRMED
mfg-02-c27910483693,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-74df97f8e1f2,BATCH-0000004,MPS-0000004,2026-02-19,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000004,6.711,FG-CATHODE,LOT-FG-0000004,6.499,TON,0.96843,0.212,0,CONFIRMED
mfg-02-5d9eef25a20d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-de26d3c9172c,BATCH-0000005,MPS-0000005,2026-02-21,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000005,7.92,FG-LIOH,LOT-FG-0000005,7.435,TON,0.93882,0.485,0,CONFIRMED
mfg-02-58542c69ca11,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-37a17edcb91d,BATCH-0000006,MPS-0000006,2026-02-27,plant-afs-battery-02,RM-MHP,LOT-RM-000006,8.906,FG-NISO4,LOT-FG-0000006,8.395,TON,0.94267,0.511,0,CONFIRMED
mfg-02-6d9ba73ff883,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1dac9544c01d,BATCH-0000007,MPS-0000007,2026-03-05,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000007,9.424,FG-CATHODE,LOT-FG-0000007,9.377,TON,0.995,0.047,0,CONFIRMED
mfg-02-fb29aa4f371e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f6813fe7d981,BATCH-0000008,MPS-0000008,2026-03-11,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000008,10.969,FG-LIOH,LOT-FG-0000008,10.381,TON,0.94642,0.588,0,CONFIRMED
mfg-02-5d638238a785,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8ee9fea5531a,BATCH-0000009,MPS-0000009,2026-03-13,plant-afs-battery-02,RM-MHP,LOT-RM-000009,12.286,FG-NISO4,LOT-FG-0000009,11.409,TON,0.92862,0.877,0,CONFIRMED
mfg-02-909add14c849,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5bf9c78187a1,BATCH-0000010,MPS-0000010,2026-03-19,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000010,12.82,FG-CATHODE,LOT-FG-0000010,12.459,TON,0.97181,0.361,0,CONFIRMED
mfg-02-973ccb1c760d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7c9b77e2847f,BATCH-0000011,MPS-0000011,2026-03-25,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000011,14.724,FG-LIOH,LOT-FG-0000011,13.531,TON,0.91896,1.193,0,CONFIRMED
mfg-02-6445ed575d98,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-63dd5705f6c2,BATCH-0000012,MPS-0000012,2026-04-01,plant-afs-battery-02,RM-MHP,LOT-RM-000012,13.338,FG-NISO4,LOT-FG-0000012,12.661,TON,0.94927,0.677,0,CONFIRMED
mfg-02-56850e3d338c,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f90828b132ed,BATCH-0000013,MPS-0000013,2026-04-03,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000013,14.043,FG-CATHODE,LOT-FG-0000013,13.654,TON,0.97232,0.389,0,CONFIRMED
mfg-02-767d45f6093a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a71517116250,BATCH-0000014,MPS-0000014,2026-04-09,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000014,15.562,FG-LIOH,LOT-FG-0000014,14.67,TON,0.94268,0.892,0,CONFIRMED
mfg-02-4d1d5cc7cf88,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6e3121b5f1ab,BATCH-0000015,MPS-0000015,2026-04-15,plant-afs-battery-02,RM-MHP,LOT-RM-000015,17.002,FG-NISO4,LOT-FG-0000015,15.709,TON,0.92396,1.293,0,CONFIRMED
mfg-02-0b027fcc5c63,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e5f513e77143,BATCH-0000016,MPS-0000016,2026-04-21,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000016,17.217,FG-CATHODE,LOT-FG-0000016,16.77,TON,0.97403,0.447,0,CONFIRMED
mfg-02-e6df2ceb5c91,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4eeef84cf35b,BATCH-0000017,MPS-0000017,2026-04-23,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000017,19.137,FG-LIOH,LOT-FG-0000017,17.854,TON,0.93298,1.283,0,CONFIRMED
mfg-02-b24e02b7db39,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-808a9d813768,BATCH-0000018,MPS-0000018,2026-04-29,plant-afs-battery-02,RM-MHP,LOT-RM-000018,20.372,FG-NISO4,LOT-FG-0000018,18.961,TON,0.93075,1.411,0,CONFIRMED
mfg-02-de298b8d2033,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f9066534ed3d,BATCH-0000019,MPS-0000019,2026-05-05,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000019,20.191,FG-CATHODE,LOT-FG-0000019,20.09,TON,0.995,0.101,0,CONFIRMED
mfg-02-677bc3136912,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c7dd92855885,BATCH-0000020,MPS-0000020,2026-05-11,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000020,4.527,FG-LIOH,LOT-FG-0000020,4.257,TON,0.94044,0.27,0,CONFIRMED
mfg-02-32a126ef0816,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-87d7240742b1,BATCH-0000021,MPS-0000021,2026-05-13,plant-afs-battery-02,RM-MHP,LOT-RM-000021,5.591,FG-NISO4,LOT-FG-0000021,5.216,TON,0.93297,0.375,0,CONFIRMED
mfg-02-c59696b60654,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f029d9e25ac3,BATCH-0000022,MPS-0000022,2026-05-19,plant-afs-smelting-01,RM-CU-CONC,LOT-RM-000022,6.376,FG-CATHODE,LOT-FG-0000022,6.198,TON,0.97204,0.178,0,CONFIRMED
mfg-02-f3c5144c0d4a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-85c943861cd5,BATCH-0000023,MPS-0000023,2026-05-26,plant-afs-battery-02,RM-BLACKMASS,LOT-RM-000023,6.687,FG-LIOH,LOT-FG-0000023,6.235,TON,0.93239,0.452,0,CONFIRMED
mfg-02-afc0172a0a99,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c2677d686afe,BATCH-0000024,MPS-0000024,2026-06-01,plant-afs-battery-02,RM-MHP,LOT-RM-000024,7.59,FG-NISO4,LOT-FG-0000024,7.137,TON,0.94034,0.453,0,CONFIRMED
