record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,clearance_id,shipment_id,declaration_date,inspection_status,duty_amount,currency,cleared_at,status,source_version
log-04-e2f9f9d8f8dd,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-87383d6abcfc,CUSCLR-000001,SHP-000001,2026-02-21,CLEARED,0.0,KRW,2026-02-23,CLEARED,1
log-04-bdf6e993ee12,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d60f34c17c87,CUSCLR-000002,SHP-000002,2026-03-15,CLEARED,0.0,USD,2026-03-18,CLEARED,1
log-04-a5068cd74efb,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2f5ee08afe8f,CUSCLR-000003,SHP-000003,2026-04-11,CLEARED,0.0,USD,2026-04-15,CLEARED,1
log-04-0ab58aeab020,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a482f0305218,CUSCLR-000004,SHP-000004,2026-05-31,CLEARED,0.0,KRW,2026-06-01,CLEARED,1
log-04-f688726b1fc7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e40bc47f4686,CUSCLR-000005,SHP-000005,2026-06-24,CLEARED,4029.68,USD,2026-06-26,CLEARED,1
log-04-235119eef895,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-aa82fce9e396,CUSCLR-000006,SHP-000006,2026-08-10,CLEARED,0.0,USD,2026-08-13,CLEARED,1
log-04-9194099ad776,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3c8a2ab231d4,CUSCLR-000007,SHP-000007,2026-09-02,CLEARED,0.0,KRW,2026-09-06,CLEARED,1
log-04-75c52a4c3b0d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7f7cd3f289e7,CUSCLR-000008,SHP-000008,2026-10-02,CLEARED,0.0,USD,2026-10-03,CLEARED,1
log-04-cdfc784ef82f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-986517f3c2aa,CUSCLR-000009,SHP-000009,2026-03-10,CLEARED,0.0,USD,2026-03-12,CLEARED,1
log-04-5297ccc9c43b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-49cb876f9e27,CUSCLR-000010,SHP-000010,2026-05-01,CLEARED,2579.0,USD,2026-05-04,CLEARED,1
log-04-e0f2582a2f8b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-866dd9d9c07c,CUSCLR-000011,SHP-000011,2026-05-19,INSPECTED,0.0,KRW,2026-05-23,CLEARED,1
log-04-ece5a7511bcd,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9a944f3a2867,CUSCLR-000012,SHP-000012,2026-06-18,CLEARED,0.0,USD,2026-06-19,CLEARED,1
log-04-3b43a7b998dd,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b2bfefe4aed9,CUSCLR-000013,SHP-000013,2026-07-10,CLEARED,0.0,USD,2026-07-12,CLEARED,1
log-04-4ceabb202e48,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4f2b190d1c18,CUSCLR-000014,SHP-000014,2026-08-01,CLEARED,0.0,USD,2026-08-04,CLEARED,1
log-04-47d070bb1d3c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-da32745bf78b,CUSCLR-000015,SHP-000015,2026-08-25,CLEARED,4996.81,KRW,2026-08-29,CLEARED,1
log-04-53203cbb7642,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-93accd4cd4d0,CUSCLR-000016,SHP-000016,2026-09-20,CLEARED,0.0,USD,2026-09-21,CLEARED,1
