record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,clearance_id,shipment_id,declaration_date,inspection_status,duty_amount,currency,cleared_at,status,source_version
log-04-4d2153542818,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dac01779f809,CUSCLR-000001,SHP-000001,2026-02-25,CLEARED,0.0,KRW,2026-02-27,CLEARED,1
log-04-0da36e3e823b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-60a07da2a04d,CUSCLR-000002,SHP-000002,2026-03-17,CLEARED,0.0,USD,2026-03-20,CLEARED,1
log-04-6839ed79e913,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4e3f402dc9a2,CUSCLR-000003,SHP-000003,2026-04-14,CLEARED,0.0,USD,2026-04-18,CLEARED,1
log-04-60337f00483d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-042e4d65cdb4,CUSCLR-000004,SHP-000004,2026-05-29,CLEARED,0.0,KRW,2026-05-30,CLEARED,1
log-04-312a0f1e43ef,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f30136a0abed,CUSCLR-000005,SHP-000005,2026-06-22,CLEARED,3342.26,USD,2026-06-24,CLEARED,1
log-04-4f96d2194c26,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-342ed323a318,CUSCLR-000006,SHP-000006,2026-07-13,CLEARED,0.0,USD,2026-07-16,CLEARED,1
log-04-4fdff59a23a0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4f957e2b58ea,CUSCLR-000007,SHP-000007,2026-08-10,CLEARED,0.0,USD,2026-08-14,CLEARED,1
log-04-6f0f0a310117,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-8fba0d789406,CUSCLR-000008,SHP-000008,2026-09-06,CLEARED,0.0,KRW,2026-09-07,CLEARED,1
log-04-56a792ebcbc6,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-64bd5abe39f6,CUSCLR-000009,SHP-000009,2026-10-02,CLEARED,0.0,USD,2026-10-04,CLEARED,1
log-04-938bc23797c9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7c0e57e05ac2,CUSCLR-000010,SHP-000010,2026-03-09,CLEARED,1336.9,USD,2026-03-12,CLEARED,1
