record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,clearance_id,shipment_id,declaration_date,inspection_status,duty_amount,currency,cleared_at,status,source_version
log-04-0c1ceeb7f2ea,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-84aae0f7ad10,CUSCLR-000001,SHP-000001,2023-08-24,CLEARED,0.0,KRW,2023-08-26,CLEARED,1
log-04-6281ac3d56f2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4ca3a6d09155,CUSCLR-000002,SHP-000002,2023-09-13,CLEARED,0.0,USD,2023-09-16,CLEARED,1
log-04-ec57d46394ff,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4a6688ecd638,CUSCLR-000003,SHP-000003,2023-10-12,CLEARED,0.0,USD,2023-10-16,CLEARED,1
log-04-a29c463f45c3,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a97d9f8cdd80,CUSCLR-000004,SHP-000004,2023-11-08,CLEARED,0.0,USD,2023-11-09,CLEARED,1
log-04-1d32fa3ef332,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-da45d8b28ba4,CUSCLR-000005,SHP-000005,2023-11-30,CLEARED,180583.28,KRW,2023-12-02,CLEARED,1
log-04-50e551e8cd7d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-736dd1433cfd,CUSCLR-000006,SHP-000006,2023-12-18,CLEARED,0.0,USD,2023-12-21,CLEARED,1
log-04-765405737a25,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-1f678676079f,CUSCLR-000007,SHP-000007,2024-01-10,CLEARED,0.0,USD,2024-01-14,CLEARED,1
log-04-187abf8cf9b2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-900b5f3c7f0b,CUSCLR-000008,SHP-000008,2024-02-05,CLEARED,0.0,USD,2024-02-06,CLEARED,1
log-04-a7cd6fe163c5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e98000e0cfd4,CUSCLR-000009,SHP-000009,2024-03-05,CLEARED,0.0,KRW,2024-03-07,CLEARED,1
log-04-a566b4616b81,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ea3b1505caa7,CUSCLR-000010,SHP-000010,2024-03-26,CLEARED,59732.4,USD,2024-03-29,CLEARED,1
