record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,bom_id,line_no,output_material_id,input_material_id,component_role,quantity_per_output,input_uom,output_uom,standard_yield,byproduct_material_id,effective_from,effective_to
mdm-05-298b97c7391b,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-65e91f363dae,BOM-FG-CATHODE-01,1,FG-CATHODE,RM-CU-CONC,INPUT,3.3,TON,TON,0.98,BP-H2SO4,2024-01-01,9999-12-31
mdm-05-e9c25e5e8273,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-794ad37c91bd,BOM-FG-CATHODE-01,2,FG-CATHODE,WIP-MATTE,RETURN,0.02,TON,TON,0.98,BP-H2SO4,2024-01-01,9999-12-31
mdm-05-604095c08bec,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-d0aa6efa98d9,BOM-FG-NISO4-01,1,FG-NISO4,RM-MHP,INPUT,1.15,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-34f724d659ed,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6b9234fce515,BOM-FG-NISO4-01,2,FG-NISO4,RM-H2SO4,INPUT,0.32,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-316466a8fb1d,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-ce20d41063f9,BOM-FG-NISO4-01,3,FG-NISO4,RM-LIME,INPUT,0.08,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-79dccd473067,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b239e66ac3bb,BOM-FG-LIOH-01,1,FG-LIOH,RM-BLACKMASS,INPUT,5.2,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-ba1d043a02fa,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-bc3a989c25db,BOM-FG-LIOH-01,2,FG-LIOH,RM-H2SO4,INPUT,0.12,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-95cf47e7f9d0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f1ca8b19caad,BOM-FG-LIOH-01,3,FG-LIOH,RM-LIME,INPUT,0.05,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-624b74b96e8e,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a470404ea3f,BOM-MAT-FI-0017-01,1,MAT-FI-0017,MAT-CO-0020,INPUT,1.1400000000000001,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-030493f21396,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c23d3d475f51,BOM-MAT-FI-0023-01,1,MAT-FI-0023,MAT-CO-0015,INPUT,1.17,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-3c83b39389f3,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5e2ff33bba11,BOM-MAT-FI-0029-01,1,MAT-FI-0029,MAT-CO-0026,INPUT,1.05,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-d95dc19274f9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-674895cb8b58,BOM-MAT-FI-0035-01,1,MAT-FI-0035,MAT-CO-0021,INPUT,1.08,TON,TON,0.94,,2024-01-01,9999-12-31
mdm-05-c8425f21f603,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a47dea387b24,BOM-MAT-FI-0041-01,1,MAT-FI-0041,MAT-CO-0032,INPUT,1.11,TON,TON,0.94,,2024-01-01,9999-12-31
