record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,routing_id,operation_seq,operation_name,equipment_id,equipment_name,product_id,rate_per_hour,rate_uom,setup_hours,rated_oee,calendar_hours_month
mdm-06-1892799fd0fd,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9862a54042b1,ROUTE-FG-CATHODE,10,원료준비,EQ-01-001,원료준비 설비 01,FG-CATHODE,3.5,TON/H,0.5,0.82,720
mdm-06-ae3f97cc3b4b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a6487787787,ROUTE-FG-NISO4,20,침출·용해,EQ-02-002,침출·용해 설비 02,FG-NISO4,4.2,TON/H,0.75,0.835,720
mdm-06-0f5800f36063,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2a6e2cdaffd9,ROUTE-FG-LIOH,30,정제,EQ-02-003,정제 설비 03,FG-LIOH,4.9,TON/H,1.0,0.85,720
mdm-06-b60b2fb00608,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-399f419230da,ROUTE-MAT-FI-0017,40,결정화,EQ-02-004,결정화 설비 04,MAT-FI-0017,5.6,TON/H,1.25,0.865,720
mdm-06-efa03e050820,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-99980f0e0e54,ROUTE-MAT-FI-0023,50,건조·포장,EQ-02-005,건조·포장 설비 05,MAT-FI-0023,6.3,TON/H,0.5,0.88,720
mdm-06-ed9efd993081,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-27b5e3bcaea0,ROUTE-MAT-FI-0029,10,원료준비,EQ-02-006,원료준비 설비 06,MAT-FI-0029,7.0,TON/H,0.75,0.895,720
mdm-06-460c2966711f,tenant-afs-demo-materials,plant-afs-smelting-01,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-890eff7b3c2e,ROUTE-FG-CATHODE,20,침출·용해,EQ-01-007,침출·용해 설비 07,FG-CATHODE,7.7,TON/H,1.0,0.91,720
mdm-06-5dd71952e797,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0f9367fc5731,ROUTE-FG-NISO4,30,정제,EQ-02-008,정제 설비 08,FG-NISO4,8.4,TON/H,1.25,0.925,720
mdm-06-4216ce571f7a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-4512a0578674,ROUTE-FG-LIOH,40,결정화,EQ-02-009,결정화 설비 09,FG-LIOH,3.5,TON/H,0.5,0.82,720
mdm-06-a1422ab0af44,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c735ec91e0a4,ROUTE-MAT-FI-0017,50,건조·포장,EQ-02-010,건조·포장 설비 10,MAT-FI-0017,4.2,TON/H,0.75,0.835,720
mdm-06-45dedd55e2d7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-0edf01d5a626,ROUTE-MAT-FI-0023,10,원료준비,EQ-02-011,원료준비 설비 11,MAT-FI-0023,4.9,TON/H,1.0,0.85,720
mdm-06-df4c10eb1709,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,REFERENCE,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-83dcc6c3ea22,ROUTE-MAT-FI-0029,20,침출·용해,EQ-02-012,침출·용해 설비 12,MAT-FI-0029,5.6,TON/H,1.25,0.865,720
