record_id,tenant_id,scope_node_id,data_class,business_data_kind,data_origin,quality_status,certification_status,as_of_date,lineage_id,ledger_line_id,document_id,posting_date,fiscal_period,account_id,cost_center_id,debit_amount,credit_amount,currency,cashflow_line,plan_actual
fin-03-c165ab521287,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-2afb8f67f38a,GL-00000001,AP-PO-000001-10,2023-08-19,2023-08,1200,CC-PROC,202623.6,0.0,KRW,INVENTORY,ACTUAL
fin-03-e7775e3a516a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6313cb466507,GL-00000002,AP-PO-000001-10,2023-08-19,2023-08,2000,CC-PROC,0.0,202623.6,KRW,AP,ACTUAL
fin-03-6f4a4b4e78c4,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-366701a57ad8,GL-00000003,AP-PO-000002-10,2023-09-12,2023-09,1200,CC-PROC,485706.78,0.0,USD,INVENTORY,ACTUAL
fin-03-14f95be7869a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c8dc5b3ddb3b,GL-00000004,AP-PO-000002-10,2023-09-12,2023-09,2000,CC-PROC,0.0,485706.78,USD,AP,ACTUAL
fin-03-faf94d73e3bb,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-6ba022cce3d3,GL-00000005,AP-PO-000004-10,2023-10-30,2023-10,1200,CC-PROC,394413.21,0.0,USD,INVENTORY,ACTUAL
fin-03-da8cb9f85be2,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-af9226c1dd31,GL-00000006,AP-PO-000004-10,2023-10-30,2023-10,2000,CC-PROC,0.0,394413.21,USD,AP,ACTUAL
fin-03-959f28c7c92e,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-a1c935173627,GL-00000007,AP-PO-000005-10,2023-11-23,2023-11,1200,CC-PROC,460327.89,0.0,KRW,INVENTORY,ACTUAL
fin-03-7bf43d0e2dc7,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e79c4ab06f50,GL-00000008,AP-PO-000005-10,2023-11-23,2023-11,2000,CC-PROC,0.0,460327.89,KRW,AP,ACTUAL
fin-03-96c2e59b84f9,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-87919a264947,GL-00000009,AP-PO-000006-10,2023-12-17,2023-12,1200,CC-PROC,527235.0,0.0,USD,INVENTORY,ACTUAL
fin-03-afaef9321442,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-504ceab55223,GL-00000010,AP-PO-000006-10,2023-12-17,2023-12,2000,CC-PROC,0.0,527235.0,USD,AP,ACTUAL
fin-03-c6eb238e2d85,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-5a6d8d172137,GL-00000011,AP-PO-000009-10,2024-02-28,2024-02,1200,CC-PROC,733910.91,0.0,KRW,INVENTORY,ACTUAL
fin-03-ab66cc92145f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-b1a46f2aed42,GL-00000012,AP-PO-000009-10,2024-02-28,2024-02,2000,CC-PROC,0.0,733910.91,KRW,AP,ACTUAL
fin-03-1df919ff0594,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-9d8c10705b37,GL-00000013,AP-PO-000010-10,2024-03-23,2024-03,1200,CC-PROC,749707.32,0.0,USD,INVENTORY,ACTUAL
fin-03-23ce4e722562,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-f3af8d2afacf,GL-00000014,AP-PO-000010-10,2024-03-23,2024-03,2000,CC-PROC,0.0,749707.32,USD,AP,ACTUAL
fin-03-843d7e77369a,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-e6c3230af1fb,GL-00000015,AP-PO-000011-10,2024-04-16,2024-04,1200,CC-PROC,817110.6,0.0,USD,INVENTORY,ACTUAL
fin-03-de5ea9ccc89c,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-7603ddc00a6d,GL-00000016,AP-PO-000011-10,2024-04-16,2024-04,2000,CC-PROC,0.0,817110.6,USD,AP,ACTUAL
fin-03-b3881124aeb5,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-dfe1b0d699a7,GL-00000017,AP-PO-000012-10,2024-02-27,2024-02,1200,CC-PROC,205931.7,0.0,USD,INVENTORY,ACTUAL
fin-03-a1c21fd60a4f,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-332b9f8ca3a2,GL-00000018,AP-PO-000012-10,2024-02-27,2024-02,2000,CC-PROC,0.0,205931.7,USD,AP,ACTUAL
fin-03-4d84b9a8e6e0,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-61c7e7a50908,GL-00000019,AP-PO-000015-10,2024-05-10,2024-05,1200,CC-PROC,400698.6,0.0,USD,INVENTORY,ACTUAL
fin-03-d739cec090ac,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-68dab87255b5,GL-00000020,AP-PO-000015-10,2024-05-10,2024-05,2000,CC-PROC,0.0,400698.6,USD,AP,ACTUAL
fin-03-1d8db457dd14,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-3e153cfc89bb,GL-00000021,AP-PO-000017-10,2024-06-27,2024-06,1200,CC-PROC,535505.25,0.0,KRW,INVENTORY,ACTUAL
fin-03-d5141c7aac8b,tenant-afs-demo-materials,plant-afs-battery-02,SYNTHETIC,ACTUAL,SYNTHETIC,PASS,CERTIFIED_FOR_DEMO,2026-08-11,lin-c5b46e55c23e,GL-00000022,AP-PO-000017-10,2024-06-27,2024-06,2000,CC-PROC,0.0,535505.25,KRW,AP,ACTUAL
